crypto_name,date,price,market_cap,volume,ingestion_timestamp
bitcoin,2026-02-01 02:01:36.183,78446.44614724506,1567027735898.1982,79560221032.48547,2026-03-03 01:20:38.748877
bitcoin,2026-02-01 03:00:43.632,78852.6766338731,1576316192344.6855,81542257954.54108,2026-03-03 01:20:38.748881
bitcoin,2026-02-01 04:02:23.747,78767.61762558289,1573922970782.4006,81000112899.24217,2026-03-03 01:20:38.748883
bitcoin,2026-02-01 05:01:28.993,78912.80103317233,1577497421747.3276,82586816836.47656,2026-03-03 01:20:38.748884
bitcoin,2026-02-01 06:01:56.119,78539.5665580453,1568949008531.7742,82662027399.37349,2026-03-03 01:20:38.748885
bitcoin,2026-02-01 07:01:20.629,78249.02172265615,1564071596169.3547,83626804735.72153,2026-03-03 01:20:38.748886
bitcoin,2026-02-01 08:02:41.584,78306.02837173457,1564445536713.8467,84068463785.32811,2026-03-03 01:20:38.748887
bitcoin,2026-02-01 09:02:14.104,78503.16086298278,1569067663512.9622,82544369173.9222,2026-03-03 01:20:38.748888
bitcoin,2026-02-01 10:01:22.425,78943.28284591532,1575170629326.2222,82773574103.18187,2026-03-03 01:20:38.748888
bitcoin,2026-02-01 11:00:51.074,78190.05967627538,1561929606352.7866,83084906521.89174,2026-03-03 01:20:38.748889
bitcoin,2026-02-01 12:01:21.241,78674.55269710587,1571664704497.4768,82099682094.57455,2026-03-03 01:20:38.748890
bitcoin,2026-02-01 13:01:15.326,78395.42785626884,1566874016097.4712,83306993631.19218,2026-03-03 01:20:38.748891
bitcoin,2026-02-01 14:01:10.977,78250.67642409485,1563246295303.8298,83463836589.41534,2026-03-03 01:20:38.748892
bitcoin,2026-02-01 15:02:23.062,78153.42947394075,1562106000716.0874,79888888919.9415,2026-03-03 01:20:38.748893
bitcoin,2026-02-01 16:01:53.804,77544.7380964675,1551328586380.9963,80612046421.01065,2026-03-03 01:20:38.748894
bitcoin,2026-02-01 17:01:17.622,77393.55504519478,1546350779776.475,75686616145.41411,2026-03-03 01:20:38.748895
bitcoin,2026-02-01 18:02:19.141,77696.03134586934,1551967589369.0713,66382279180.457405,2026-03-03 01:20:38.748896
bitcoin,2026-02-01 19:01:32.719,77896.36160377583,1553595637128.815,58460878605.666534,2026-03-03 01:20:38.748897
bitcoin,2026-02-01 20:01:30.378,77077.95592797572,1539220200661.5708,54687939376.59296,2026-03-03 01:20:38.748898
bitcoin,2026-02-01 21:01:34.657,77035.921671734,1539382322409.2056,53605164016.19363,2026-03-03 01:20:38.748899
bitcoin,2026-02-01 22:01:56.369,76435.74536602902,1526747207671.7795,53721807505.19723,2026-03-03 01:20:38.748900
bitcoin,2026-02-01 23:00:08.714,77145.43546862429,1541546307094.2385,54017502629.54843,2026-03-03 01:20:38.748900
bitcoin,2026-02-02 00:01:35.648,76906.6755974147,1538967094701.9963,58079188094.31761,2026-03-03 01:20:38.748901
bitcoin,2026-02-02 01:02:21.892,77576.32216510682,1550582712243.8691,58447605047.835594,2026-03-03 01:20:38.748902
bitcoin,2026-02-02 02:00:51.309,77483.39217465831,1547973324551.8984,59034831529.35074,2026-03-03 01:20:38.748903
bitcoin,2026-02-02 03:02:18.913,76425.36227434671,1529075619507.4514,59390357849.767845,2026-03-03 01:20:38.748904
bitcoin,2026-02-02 04:02:00.712,76187.07154557863,1522416430200.008,67556832966.76391,2026-03-03 01:20:38.748905
bitcoin,2026-02-02 05:02:17.015,75825.18353347215,1514892417402.9854,69971108409.15683,2026-03-03 01:20:38.748906
bitcoin,2026-02-02 06:03:23.502,75442.36463977459,1506554287674.4678,73222407278.58492,2026-03-03 01:20:38.748907
bitcoin,2026-02-02 07:02:34.828,76403.38705228502,1523291198171.3718,76164882821.49966,2026-03-03 01:20:38.748907
bitcoin,2026-02-02 08:03:44.420,76579.2542838234,1530281493441.321,78325767896.80049,2026-03-03 01:20:38.748908
bitcoin,2026-02-02 09:03:02.414,76827.71592198485,1536009569118.2441,80179229776.92055,2026-03-03 01:20:38.748909
